,length,width,class
0,6.280259064223732,7.291050096096249,1
1,6.310156395499233,6.772267788385367,1
2,5.996523732748133,4.920934563829167,1
3,5.108846090237595,6.013289106551404,1
4,6.454587785635424,6.7742341441827145,1
5,6.1379228880425805,6.421493364132696,1
6,5.549992496680294,5.818628856605724,1
7,6.385735941084642,5.666980250559813,1
8,6.096426287135417,5.00378823014307,1
9,5.832869213371887,5.903454543228312,1
10,6.088548471859325,5.692035537916631,1
11,5.515311198452578,6.457902485321801,1
12,5.5742709792061245,5.789083682849772,1
13,5.737085484985036,6.188127052041263,1
14,5.280546593502542,6.062069375864759,1
15,5.9433172747207434,5.923057962601495,1
16,5.700880338871997,4.935776387491493,1
17,6.2575081291360615,5.543428702571177,1
18,5.522029743915555,6.932702255482752,1
19,5.406811662743846,5.973486267623512,1
20,6.81484300883622,6.848266653568177,1
21,7.778710143669473,5.623972255972093,1
22,6.156603428560843,6.122796643689351,1
23,4.9242680604457725,6.2228650869115025,1
24,6.555825488245435,5.090182053426748,1
25,5.522207863306747,6.8550990439217605,1
26,5.528602531931506,6.003657308071111,1
27,6.449596419663361,6.417413827324344,1
28,7.099637134230843,5.8684299494018415,1
29,6.044404250931904,6.1059591636019634,1
30,5.468076216232659,6.400100296916373,1
31,6.352949040588246,5.063443656551786,1
32,5.580768331911859,5.257633438548308,1
33,6.15838184754534,6.821266904222063,1
34,6.3149204967716726,6.660231565825384,1
35,6.093367897072876,6.109215543779785,1
36,6.613091996360515,6.40374493992324,1
37,6.7880159239162925,5.999908159364358,1
38,5.748241771165609,5.355596152009736,1
39,6.206154527367842,5.384113668791101,1
40,4.71561467421218,5.425688691670492,1
41,5.9835263517913,6.191836027923891,1
42,7.506815834123749,6.386360747127355,1
43,5.700970753831318,5.354647211856959,1
44,5.905279640919008,6.329862901313596,1
45,6.009410670676601,5.9914928670392955,1
46,4.815113957457825,6.2626372071942935,1
47,5.5402594125311975,5.271319040659967,1
48,6.4976295291707356,6.624078207406942,1
49,5.708997509457448,7.096793649057052,1
50,7.181320484333574,6.286090458633713,1
51,6.572146697348768,5.820855431251604,1
52,5.81922186683022,7.127586704511737,1
53,5.598718037131883,6.559032313036457,1
54,6.336394781372886,6.87330003011747,1
55,6.402937603505743,5.511608240838593,1
56,6.798426946187933,6.606491077869479,1
57,6.187321635927082,5.335042939671735,1
58,6.017688797292273,6.883082673075356,1
59,7.826941992460831,5.839043585921774,1
60,6.050145266903164,5.956686972023378,1
61,5.810506780523488,6.210364207457539,1
62,6.413179752816041,6.500968675194896,1
63,6.180482994128918,5.4623935784171564,1
64,6.467767079954869,6.083118317850202,1
65,5.37872166200512,6.003321347381417,1
66,6.411168345895712,5.593021057423587,1
67,6.603034758892259,6.449623921685196,1
68,5.227227450390734,7.09928678619329,1
69,7.014305998913833,4.914251606138967,1
70,6.092169325926571,5.6062267854260055,1
71,6.434540639417632,4.977442145744335,1
72,6.067708255206556,5.854936625651497,1
73,6.7020062436407715,5.097986362444731,1
74,5.704068821351645,5.767141564248557,1
75,6.152189304299988,5.057880687094442,1
76,5.870838556437755,6.252339470209319,1
77,5.404023098116049,6.347128129478669,1
78,5.900719266588379,5.228073167246812,1
79,5.884529762032474,6.256928009903253,1
80,5.972723644389644,5.313136612946487,1
81,6.7986706306396325,6.223933072475497,1
82,5.293727138174398,6.795495637085863,1
83,6.234541579387003,6.7506371132860234,1
84,6.6412133433456875,5.917565584555511,1
85,6.578805612202565,5.74397520980948,1
86,5.5057293757779435,6.195980970008029,1
87,6.152669665888296,6.2023655805664575,1
88,6.821109954378233,5.6098213539889645,1
89,7.072624859522841,5.784462890817338,1
90,5.894782569395533,6.182720086967773,1
