Id,SalePrice
1461,159587.27
1462,168242.4
1463,176646.27
1464,174090.34
1465,182191.08
1466,163792.58
1467,161634.4
1468,150327.9
1469,187349.23
1470,137684.0
1471,191984.17
1472,92496.72
1473,106387.08
1474,158836.25
1475,110569.016
1476,284081.6
1477,249354.06
1478,253382.45
1479,262435.2
1480,398242.56
1481,284478.25
1482,190306.58
1483,179351.38
1484,159401.52
1485,128339.69
1486,172488.6
1487,314922.75
1488,256469.2
1489,191890.88
1490,205939.16
1491,172694.3
1492,135059.98
1493,190269.27
1494,263533.88
1495,261436.22
1496,206119.44
1497,184682.06
1498,133016.17
1499,133005.3
1500,134866.62
1501,155480.16
1502,123827.33
1503,242320.42
1504,202810.92
1505,215709.42
1506,248908.05
1507,263502.0
1508,230614.62
1509,164775.33
1510,174905.36
1511,173655.95
1512,209958.05
1513,172410.06
1514,184034.83
1515,242172.62
1516,167743.02
1517,142682.48
1518,226981.78
1519,216713.94
1520,146192.52
1521,153895.23
1522,196296.08
1523,132842.92
1524,129682.234
1525,126073.28
1526,123754.69
1527,147469.3
1528,127100.836
1529,167751.42
1530,188666.11
1531,159427.53
1532,93414.37
1533,194477.42
1534,125269.14
1535,158161.27
1536,145033.38
1537,151031.77
1538,153782.95
1539,206094.73
1540,162688.56
1541,173152.39
1542,168023.17
1543,195547.8
1544,91355.14
1545,105812.53
1546,146649.33
1547,139598.52
1548,139135.0
1549,134761.11
1550,171871.33
1551,137906.69
1552,201604.8
1553,114666.41
1554,113018.56
1555,203238.95
1556,110366.64
1557,133347.66
1558,92882.625
1559,132849.28
1560,173756.02
1561,195894.06
1562,126297.58
1563,110870.44
1564,199039.95
1565,153573.08
1566,221296.7
1567,110638.91
1568,211617.31
1569,179563.75
1570,136886.33
1571,141313.77
1572,154939.58
1573,214890.48
1574,182065.52
1575,201926.84
1576,241923.25
1577,186276.61
1578,154424.75
1579,148740.12
1580,180646.81
1581,132133.94
1582,132957.98
1583,297922.5
1584,223390.7
1585,123001.914
1586,66147.06
1587,104355.84
1588,155078.86
1589,138684.1
1590,141418.55
1591,95902.06
1592,150771.3
1593,122282.31
1594,143491.94
1595,128022.47
1596,217838.84
1597,214545.06
1598,155338.67
1599,160678.83
1600,174435.55
1601,72093.984
1602,146330.02
1603,117976.22
1604,224218.77
1605,225982.1
1606,177687.39
1607,294969.0
1608,204862.72
1609,175745.77
1610,131921.45
1611,174194.92
1612,211193.64
1613,207555.08
1614,117521.71
1615,80172.625
1616,80172.625
1617,104105.39
1618,118545.84
1619,128976.69
1620,251967.16
1621,148109.33
1622,143941.17
1623,235191.69
1624,213279.08
1625,135638.89
1626,202332.27
1627,175488.92
1628,232563.94
1629,145416.75
1630,318837.72
1631,201456.83
1632,230878.58
1633,128564.11
1634,174383.86
1635,149670.25
1636,163563.88
1637,210399.27
1638,205144.23
1639,215032.3
1640,246374.2
1641,205085.47
1642,202305.17
1643,208926.11
1644,197875.48
1645,218843.86
1646,165449.44
1647,171472.42
1648,167530.02
1649,137845.02
1650,140797.08
1651,140407.28
1652,92478.09
1653,94913.305
1654,160701.45
1655,149563.98
1656,158817.61
1657,160682.83
1658,158808.3
1659,114342.94
1660,167568.11
1661,319348.16
1662,300067.38
1663,307436.5
1664,367941.6
1665,268268.94
1666,283441.4
1667,277068.3
1668,278356.56
1669,229823.98
1670,276808.12
1671,245508.98
1672,356648.3
1673,253989.0
1674,256501.44
1675,188748.45
1676,196832.14
1677,188473.69
1678,367632.0
1679,306951.75
1680,266589.38
1681,205690.14
1682,252044.75
1683,193694.05
1684,145839.08
1685,148787.9
1686,164002.08
1687,128285.51
1688,168502.64
1689,165004.98
1690,152467.39
1691,138095.95
1692,210284.66
1693,128339.69
1694,153870.64
1695,132005.81
1696,248017.89
1697,133027.47
1698,300303.66
1699,302633.6
1700,226188.9
1701,239885.92
1702,277495.3
1703,246391.17
1704,265261.56
1705,197923.67
1706,350443.9
1707,202382.95
1708,208201.89
1709,259564.67
1710,217184.14
1711,214756.58
1712,247684.25
1713,246719.9
1714,221947.33
1715,185674.86
1716,181771.83
1717,163561.61
1718,118384.695
1719,181334.92
1720,243336.3
1721,169740.75
1722,113303.125
1723,169700.03
1724,230255.47
1725,210458.77
1726,180334.8
1727,191684.48
1728,162619.27
1729,147620.8
1730,165800.86
1731,136608.61
1732,156737.83
1733,127151.56
1734,130116.73
1735,118237.98
1736,113743.375
1737,303635.66
1738,190714.56
1739,301523.8
1740,239135.48
1741,187969.98
1742,155436.86
1743,155472.86
1744,243701.34
1745,238890.77
1746,217511.03
1747,231112.61
1748,241861.02
1749,186262.33
1750,157431.8
1751,223244.55
1752,114157.58
1753,208810.16
1754,216762.05
1755,182058.39
1756,126171.375
1757,113827.74
1758,204692.11
1759,212940.12
1760,196095.39
1761,184907.2
1762,201688.42
1763,187244.05
1764,127210.1
1765,233721.02
1766,204813.25
1767,218477.67
1768,145156.02
1769,181379.52
1770,126916.164
1771,152651.12
1772,178162.62
1773,151320.02
1774,249146.42
1775,135832.17
1776,140013.08
1777,98761.875
1778,124779.11
1779,134682.42
1780,151714.36
1781,146612.72
1782,111138.055
1783,170022.27
1784,97858.16
1785,133257.98
1786,245935.25
1787,178870.64
1788,62828.566
1789,133637.48
1790,94220.484
1791,289569.8
1792,179360.19
1793,151731.14
1794,140971.84
1795,141854.27
1796,112826.28
1797,183610.23
1798,132970.27
1799,91684.375
1800,121466.23
1801,151509.39
1802,178870.77
1803,181814.95
1804,148475.25
1805,130443.36
1806,128043.71
1807,181174.61
1808,126762.234
1809,97742.73
1810,153729.55
1811,121847.805
1812,110353.2
1813,132924.33
1814,111478.17
1815,69365.14
1816,96393.67
1817,182228.14
1818,187722.73
1819,119431.805
1820,76564.97
1821,145232.2
1822,175948.33
1823,66314.34
1824,153390.75
1825,138405.45
1826,112805.25
1827,122607.53
1828,153331.61
1829,226798.83
1830,201646.8
1831,163106.44
1832,163284.55
1833,172350.1
1834,132753.34
1835,145478.88
1836,185995.42
1837,86925.75
1838,133913.61
1839,82101.81
1840,123444.22
1841,141525.08
1842,104008.12
1843,171964.34
1844,129191.51
1845,158776.36
1846,163149.39
1847,204681.12
1848,55158.758
1849,135505.95
1850,141302.33
1851,144784.58
1852,134279.56
1853,130908.73
1854,151829.38
1855,161623.1
1856,198888.73
1857,175190.72
1858,198371.64
1859,136934.56
1860,187071.25
1861,135304.16
1862,288942.0
1863,288942.0
1864,288942.0
1865,287198.9
1866,267671.62
1867,244165.4
1868,248589.52
1869,198598.98
1870,209829.3
1871,241636.45
1872,147428.64
1873,210361.11
1874,141441.11
1875,206582.27
1876,185530.02
1877,207696.52
1878,216931.7
1879,122170.06
1880,133251.88
1881,291998.62
1882,224528.02
1883,183425.1
1884,203564.14
1885,208495.05
